"",".id","perm_id","sample.x","distance","Replicate.x","IS__CONTROL.x","BD_min.x","BD_max.x","BD_range.x","perc_overlap","n_over_fracs","wmean_dist","wmean_dist_CI_low_global","wmean_dist_CI_high_global","wmean_dist_CI_low","wmean_dist_CI_high","Treatment","BD_shift","window"
"16","(Treatment=='12MC2' & TP=='72.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC209",0.0940136631900002,1,TRUE,1.795,1.801,0.00600000000000001,49.9999999999982,2,0.107083145904083,0.0816430429457269,0.11923115807385,0.080689781932148,0.082481606796362,"(Treatment=='12MC2' & TP=='72.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"17","(Treatment=='12MC2' & TP=='72.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC208",0.082613740711865,1,TRUE,1.801,1.807,0.00600000000000001,49.9999999999982,2,0.096222718795823,0.0816430429457269,0.11923115807385,0.0962098346963252,0.0986705355100136,"(Treatment=='12MC2' & TP=='72.00') | (Treatment=='5MC2' & TP == '-0.45')",FALSE,FALSE
"18","(Treatment=='12MC2' & TP=='72.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC207",0.0945018929474907,1,TRUE,1.807,1.813,0.00600000000000001,66.6666666666667,1,0.0945018929474907,0.0816430429457269,0.11923115807385,0.104599731434655,0.109535948886992,"(Treatment=='12MC2' & TP=='72.00') | (Treatment=='5MC2' & TP == '-0.45')",FALSE,FALSE
"19","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC215",0.0973815642781408,1,TRUE,1.746,1.757,0.0109999999999999,63.6363636363633,2,0.0940378524259278,0.0879750065176298,0.123053585189763,0.122574236829119,0.123404115992396,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",FALSE,FALSE
"20","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC214",0.106456740914468,1,TRUE,1.757,1.764,0.00700000000000012,42.8571428571438,2,0.0944716320942256,0.0879750065176298,0.123053585189763,0.110622358136231,0.111513224206885,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",FALSE,FALSE
"21","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC213",0.118061014385841,1,TRUE,1.764,1.775,0.0109999999999999,63.6363636363633,2,0.113294147613174,0.0879750065176298,0.123053585189763,0.109163108176549,0.110099406341939,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"22","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC212",0.121794718699309,1,TRUE,1.775,1.778,0.00300000000000011,100,1,0.121794718699309,0.0879750065176298,0.123053585189763,0.0954350339908112,0.0967832954877605,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"23","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC211",0.128133134669046,1,TRUE,1.778,1.785,0.0069999999999999,42.857142857142,2,0.125582227666814,0.0879750065176298,0.123053585189763,0.0970250030848823,0.0980547545714856,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"24","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC210",0.150578513445891,1,TRUE,1.785,1.795,0.01,40,2,0.139493156210873,0.0879750065176298,0.123053585189763,0.100884994118972,0.102015320039191,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"25","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC209",0.153655504454912,1,TRUE,1.795,1.801,0.00600000000000001,49.9999999999982,2,0.146075027983611,0.0879750065176298,0.123053585189763,0.0870493141033979,0.0888453556069937,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
