"",".id","perm_id","sample.x","distance","Replicate.x","IS__CONTROL.x","BD_min.x","BD_max.x","BD_range.x","perc_overlap","n_over_fracs","wmean_dist","wmean_dist_CI_low_global","wmean_dist_CI_high_global","wmean_dist_CI_low","wmean_dist_CI_high","Treatment","BD_shift","window"
"16","(Treatment=='12MC2' & TP=='72.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC209",0.0940136631900002,1,TRUE,1.795,1.801,0.00600000000000001,49.9999999999982,2,0.107083145904083,0.0109617050997283,0.0380895784773733,0.0177611730852495,0.0462825176761685,"(Treatment=='12MC2' & TP=='72.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"17","(Treatment=='12MC2' & TP=='72.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC208",0.082613740711865,1,TRUE,1.801,1.807,0.00600000000000001,49.9999999999982,2,0.096222718795823,0.0109617050997283,0.0380895784773733,0.00890707474356593,0.0351763491141488,"(Treatment=='12MC2' & TP=='72.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"18","(Treatment=='12MC2' & TP=='72.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC207",0.0945018929474907,1,TRUE,1.807,1.813,0.00600000000000001,66.6666666666667,1,0.0945018929474907,0.0109617050997283,0.0380895784773733,0.0176128042196664,0.0356079773256408,"(Treatment=='12MC2' & TP=='72.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"19","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC215",0.0973815642781408,1,TRUE,1.746,1.757,0.0109999999999999,63.6363636363633,2,0.0940378524259278,0.0107914362243468,0.0389099650627328,0.0226188208735507,0.0397654078984607,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"20","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC214",0.106456740914468,1,TRUE,1.757,1.764,0.00700000000000012,42.8571428571438,2,0.0944716320942256,0.0107914362243468,0.0389099650627328,0.0115146769136367,0.0262935810210326,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"21","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC213",0.118061014385841,1,TRUE,1.764,1.775,0.0109999999999999,63.6363636363633,2,0.113294147613174,0.0107914362243468,0.0389099650627328,0.0172689653856074,0.0383179968529165,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"22","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC212",0.121794718699309,1,TRUE,1.775,1.778,0.00300000000000011,100,1,0.121794718699309,0.0107914362243468,0.0389099650627328,0.0203775483474612,0.0347266468027204,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"23","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC211",0.128133134669046,1,TRUE,1.778,1.785,0.0069999999999999,42.857142857142,2,0.125582227666814,0.0107914362243468,0.0389099650627328,0.0100103798534812,0.024999192094376,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"24","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC210",0.150578513445891,1,TRUE,1.785,1.795,0.01,40,2,0.139493156210873,0.0107914362243468,0.0389099650627328,0.00720845089983581,0.0336490944347209,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
"25","(Treatment=='14MC2' & TP=='120.00')
(Treatment=='5MC2' & TP == '-0.45')",0,"MCP_5MC209",0.153655504454912,1,TRUE,1.795,1.801,0.00600000000000001,49.9999999999982,2,0.146075027983611,0.0107914362243468,0.0389099650627328,0.0179867635090836,0.0482217591097319,"(Treatment=='14MC2' & TP=='120.00') | (Treatment=='5MC2' & TP == '-0.45')",TRUE,TRUE
