"","MCP_9MC203","MCP_9MC204","MCP_9MC205","MCP_9MC206","MCP_9MC207","MCP_9MC208","MCP_9MC209","MCP_9MC210","MCP_9MC211","MCP_9MC212","MCP_9MC213","MCP_9MC214","MCP_9MC215","MCP_11MC206","MCP_11MC207","MCP_11MC208","MCP_11MC209","MCP_11MC210","MCP_11MC211","MCP_11MC212","MCP_11MC213","MCP_11MC214","MCP_12MC206","MCP_12MC207","MCP_12MC208","MCP_12MC209","MCP_12MC210","MCP_12MC211","MCP_12MC212","MCP_12MC213","MCP_12MC214","MCP_14MC205","MCP_14MC206","MCP_14MC207","MCP_14MC208","MCP_14MC209","MCP_14MC210","MCP_14MC211","MCP_14MC212","MCP_14MC213","MCP_14MC214","MCP_15MC206","MCP_15MC207","MCP_15MC208","MCP_15MC209","MCP_15MC210","MCP_15MC211","MCP_15MC212","MCP_15MC213","MCP_15MC214","MCP_5MC206","MCP_5MC207","MCP_5MC208","MCP_5MC209","MCP_5MC210","MCP_5MC211","MCP_5MC212","MCP_5MC213","MCP_5MC214","MCP_5MC215"
"43baaa1588e5409150cd37aff3133ce3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2082,0,0,0,0,0,0,0,0,0
"dcaa5e57dd7417a42aac2c915ae490c4",0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fb2dab56bf8047ade734c2fceccb49e4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2459,0,20,0,0,0,0,0,0,0
"64edc344889f4279a1292afbe81dc043",24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"ca2b23c1b70c9034ea6412255f88eb7f",0,8,0,3,0,4,5,28,12,36,23,20,11,0,0,0,3,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,69,90,91,25,26,14,29,12,47
"a6db2d87f1e7a32216e5041a1920f12e",33,485,22,61,68,130,312,1004,1325,2719,2002,1972,1406,79,225,315,960,280,743,911,1430,1523,53,822,448,957,1141,1238,2275,2658,3601,149,164,508,554,991,1532,3223,3660,3170,2768,101,149,198,235,418,613,532,427,162,548,52,99,160,124,142,65,129,121,174
"21d05aac8070d05f493325ca352fde48",0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5,0,3,0,2,0,0,263,0,3,0,0,0,0,0,3,0
"d4cc0a095dd016823ef8c5ad567c91fd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
"8215c539c392e8fc631e1d5cddeac7da",0,37,0,0,0,0,7,4,10,6,15,25,15,0,0,0,4,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,219,56,43,54,21,20,9,8,16,14
"a0bb09fae9e322244745b2b33194e6e1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614,0,0,0,0,0,0,0,0,0
"cfb98993000a7864ecd250723d57b8db",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"051cd6a0d87e6fa959b21dbb10aab655",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0
"fbbbc4675c3912fbbc0136a1c9bf445e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d007b1413572cc8ba7cd74d1b9b76586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,0
"63413adbe8227f80412e824dffac1f5a",650,7582,270,687,762,1070,2971,8720,8847,12345,10843,10406,9196,298,1004,2202,9430,2972,6293,6808,8038,6561,248,1102,616,2039,2987,3214,5780,5796,6148,497,335,952,1748,2386,4008,8054,9498,8205,5840,206,450,979,931,1597,1631,1785,1582,654,13028,5485,9246,14975,7396,4405,2205,4311,3360,6969
"3c268807febf4b5eb7c6efaa75d3ada5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,0,0,0
"f1e34308d952529287ada31976faec95",0,68,13,13,9,18,49,93,94,84,106,108,101,10,23,42,129,45,120,76,141,162,0,35,18,74,75,56,124,132,149,23,14,22,41,63,74,188,157,83,55,31,41,32,36,41,35,41,27,13,0,30,49,83,39,26,16,47,35,71
"8b1b6b50ee8e9d52ac980948823b441f",11,52,2,3,10,17,16,30,41,66,51,44,59,10,30,30,126,15,56,73,117,64,0,71,25,76,75,66,150,165,149,22,17,55,70,130,220,389,389,242,162,12,18,21,36,47,48,56,54,34,0,53,65,86,29,14,14,20,12,21
